date,year,month,airline,published_airline,iata_code,geo_summary,geo_region,price_category,terminal,boarding_area,passenger_count
1999-07-01,1999,7,ATA Airlines,ATA Airlines,TZ,Domestic,US,Low Fare,Terminal 1,B,31353
1999-07-01,1999,7,Aeroflot Russian International Airlines,Aeroflot Russian International Airlines,,International,Europe,Other,Terminal 2,D,1198
1999-07-01,1999,7,Air Canada,Air Canada,AC,International,Canada,Other,Terminal 1,B,23613
1999-07-01,1999,7,Air China,Air China,CA,International,Asia,Other,Terminal 2,D,4604
1999-07-01,1999,7,Air France,Air France,AF,International,Europe,Other,Terminal 2,D,9093
1999-07-01,1999,7,Alaska Airlines,Alaska Airlines,AS,Domestic,US,Other,Terminal 2,D,47409
1999-07-01,1999,7,Alaska Airlines,Alaska Airlines,AS,International,Canada,Other,Terminal 2,D,10082
1999-07-01,1999,7,Alaska Airlines,Alaska Airlines,AS,International,Mexico,Other,Terminal 2,D,6765
1999-07-01,1999,7,Alitalia Airlines,Alitalia Airlines,AZ,International,Europe,Other,Terminal 2,D,5624
1999-07-01,1999,7,ANA,"All Nippon Company Airways, Ltd.",NH,International,Asia,Other,Terminal 2,D,3282
1999-07-01,1999,7,American Airlines,American Airlines,AA,Domestic,US,Other,Terminal 3,E,119356
1999-07-01,1999,7,Asiana Airlines,Asiana Airlines,OZ,International,Asia,Other,Terminal 2,D,4146
1999-07-01,1999,7,British Airways,British Airways,BA,International,Europe,Other,Terminal 2,D,21161
1999-07-01,1999,7,Canadian Airlines,Canadian Airlines,CP,International,Canada,Other,Terminal 3,E,5699
1999-07-01,1999,7,Cathay Pacific,Cathay Pacific,CX,International,Asia,Other,Terminal 2,D,5759
1999-07-01,1999,7,Champion Air,Champion Air,MG,Domestic,US,Other,Terminal 1,A,1442
1999-07-01,1999,7,China Airlines,China Airlines,CI,International,Asia,Other,Terminal 2,D,7594
1999-07-01,1999,7,China Eastern,"China Eastern Airlines, Inc",,International,Asia,Other,Terminal 2,D,957
1999-07-01,1999,7,Delta Air Lines,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C,114735
1999-07-01,1999,7,EVA Airways,EVA Airways,BR,International,Asia,Other,Terminal 2,D,10117
1999-07-01,1999,7,Finnair,Finnair,AY,International,Europe,Other,Terminal 2,D,4195
1999-07-01,1999,7,Frontier Airlines,Frontier Airlines,F9,Domestic,US,Low Fare,Terminal 1,B,10007
1999-07-01,1999,7,Hawaiian Airlines,Hawaiian Airlines,HA,Domestic,US,Other,Terminal 1,C,8809
1999-07-01,1999,7,Japan Airlines,Japan Airlines,JL,International,Asia,Other,Terminal 2,D,9070
1999-07-01,1999,7,KLM Royal Dutch Airlines,KLM Royal Dutch Airlines,KL,International,Europe,Other,Terminal 2,D,8210
1999-07-01,1999,7,Korean Air Lines,Korean Air Lines,KE,International,Asia,Other,Terminal 2,D,9373
1999-07-01,1999,7,Lufthansa German Airlines,Lufthansa German Airlines,LH,International,Europe,Other,Terminal 2,D,21110
1999-07-01,1999,7,Mexicana Airlines,Mexicana Airlines,MX,International,Mexico,Other,Terminal 2,D,16453
1999-07-01,1999,7,Miami Air International,Miami Air International,GL,Domestic,US,Other,Terminal 2,D,164
1999-07-01,1999,7,Miami Air International,Miami Air International,GL,International,Canada,Other,Terminal 2,D,474
1999-07-01,1999,7,Midwest Airlines,Midwest Airlines,YX,Domestic,US,Other,Terminal 1,B,3006
1999-07-01,1999,7,National Airlines,National Airlines,N7,Domestic,US,Other,Terminal 1,B,6093
1999-07-01,1999,7,Northwest Airlines (became Delta),Northwest Airlines (became Delta),NW,Domestic,US,Other,Terminal 1,C,80371
1999-07-01,1999,7,Northwest Airlines (became Delta),Northwest Airlines (became Delta),NW,International,Asia,Other,Terminal 2,D,8645
1999-07-01,1999,7,Philippine Airlines,Philippine Airlines,PR,International,Asia,Other,Terminal 2,D,6783
1999-07-01,1999,7,Reno Air,Reno Air,QQ,Domestic,US,Other,Terminal 3,E,26399
1999-07-01,1999,7,Ryan International Airlines,Ryan International Airlines,RD,Domestic,US,Other,Terminal 2,D,18669
1999-07-01,1999,7,Ryan International Airlines,Ryan International Airlines,RD,International,Europe,Other,Terminal 2,D,4763
1999-07-01,1999,7,Singapore Airlines,Singapore Airlines,SQ,International,Asia,Other,Terminal 2,D,15151
1999-07-01,1999,7,SkyWest Airlines,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C,2394
